Date,Gold,USD_IDR,DXY,Oil,SP500,NASDAQ,VIX,GVZ,Silver,Copper,Platinum,Palladium,US10Y,USD_CNY,Nikkei,DAX
2020-09-30,1887.5,14910.0,93.88999938964844,40.220001220703125,3363.0,11167.509765625,26.3700008392334,22.06999969482422,23.433000564575195,3.0285000801086426,901.0,2321.300048828125,0.6769999861717224,6.815400123596191,23185.119140625,12760.73046875
2020-10-01,1908.4000244140625,14879.0,93.70999908447266,38.720001220703125,3380.800048828125,11326.509765625,26.700000762939453,22.389999389648438,24.19300079345703,2.8635001182556152,898.2000122070312,2319.0,0.6769999861717224,6.789700031280518,23185.119140625,12730.76953125
2020-10-02,1900.199951171875,14817.55859375,93.83999633789062,37.04999923706055,3348.419921875,11075.01953125,27.6299991607666,22.59000015258789,23.97100067138672,2.9784998893737793,883.4000244140625,2315.800048828125,0.6959999799728394,6.789400100708008,23029.900390625,12689.0400390625
2020-10-05,1912.5,14853.0,93.51000213623047,39.220001220703125,3408.60009765625,11332.490234375,27.959999084472656,22.1299991607666,24.50200080871582,2.9649999141693115,897.2000122070312,2369.199951171875,0.7620000243186951,6.78980016708374,23312.140625,12828.3095703125
2020-10-06,1901.0999755859375,14780.1826171875,93.83000183105469,40.66999816894531,3360.969970703125,11154.599609375,29.479999542236328,22.790000915527344,23.8700008392334,2.9655001163482666,863.9000244140625,2382.0,0.7419999837875366,6.78980016708374,23433.73046875,12906.01953125
2020-10-07,1883.5999755859375,14773.0,93.62999725341797,39.95000076293945,3419.43994140625,11364.599609375,28.059999465942383,23.280000686645508,23.847999572753906,3.0344998836517334,861.2000122070312,2372.89990234375,0.7850000262260437,6.78980016708374,23422.8203125,12928.5703125
2020-10-08,1888.5999755859375,14715.5,93.61000061035156,41.189998626708984,3446.830078125,11420.98046875,26.360000610351562,21.959999084472656,23.836999893188477,3.0420000553131104,858.2000122070312,2393.800048828125,0.7649999856948853,6.789700031280518,23647.0703125,13042.2099609375
2020-10-09,1919.5,14676.99609375,93.05999755859375,40.599998474121094,3477.139892578125,11579.9404296875,25.0,22.440000534057617,25.069000244140625,3.0794999599456787,887.9000244140625,2454.0,0.7749999761581421,6.7891998291015625,23619.689453125,13051.23046875
2020-10-12,1922.5,14693.0,93.06999969482422,39.43000030517578,3534.219970703125,11876.259765625,25.06999969482422,22.65999984741211,25.22599983215332,3.061000108718872,870.0,2416.39990234375,0.7770000100135803,6.693699836730957,23558.689453125,13138.41015625
2020-10-13,1888.5,14484.9921875,93.52999877929688,40.20000076293945,3511.929931640625,11863.900390625,26.06999969482422,23.170000076293945,24.086000442504883,3.0425000190734863,867.2000122070312,2335.10009765625,0.7269999980926514,6.7444000244140625,23601.779296875,13018.990234375
2020-10-14,1901.300048828125,14793.0,93.37999725341797,41.040000915527344,3488.669921875,11768.73046875,26.399999618530273,21.8799991607666,24.36400032043457,3.047499895095825,858.0999755859375,2357.10009765625,0.722000002861023,6.745500087738037,23626.73046875,13028.0595703125
2020-10-15,1903.199951171875,14681.462890625,93.86000061035156,40.959999084472656,3483.340087890625,11713.8701171875,26.969999313354492,21.729999542236328,24.19300079345703,3.0829999446868896,856.2999877929688,2357.89990234375,0.7310000061988831,6.713600158691406,23507.23046875,12703.75
2020-10-16,1900.800048828125,14652.5,93.68000030517578,40.880001068115234,3483.81005859375,11671.5595703125,27.40999984741211,20.290000915527344,24.368999481201172,3.065000057220459,864.2999877929688,2333.10009765625,0.7440000176429749,6.723899841308594,23410.630859375,12908.990234375
